"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"102011","Transfusion","","Action Modifier","","Thanatosis/Necromancy","","1","","","[nec] Only usable after resolution of a successful action. Add 1 blood to a ready vampire.
[thn] As [nec] above, but add 1 life to a ghoul or 1 blood to a ready vampire.
[THN] Only usable after combat if this vampire is still ready and successfully inflicted any damage on the opposing minion during that combat. Put 1 transfusion counter on the opposing minion. If the opposing minion has 3 of your transfusion counters, burn them to steal the opposing minion. Only one Transfusion can be played at superior each turn.","","LoB:C, POD:DTC","","","John Bridges","",""
"102012","Trap","","Combat","","","","","","","Only usable before range is determined during the first round of combat.
Put this card in play with 3 counters. Each time a card is played this combat, reset the number of counters on this card to 3. During the press step of each round this combat, this Trap automatically burns 1 counter from itself to provide 1 press to continue combat (either combatant can press to end combat). Burn this card at the end of combat.","","Jyhad:C, VTES:C, Sabbat:C, SW:PB2, FN:PR, CE:PB/PTo/PTr3, Anarchs:PAG2, LoB:PO3, Third:C, SP:PwN3","","","Jeff Rebner; Peter Kim","",""
"102013","Travelers Obey the Tenets","","Action","","","","","","","+1 stealth action. Requires a ready magaji.
Put this card in play. When a vampire successfully takes a (D) action against you, that vampire takes 1 unpreventable damage (after resolving the action). Any vampire may burn this card (and take no damage from it) as a (D) action. A Methuselah may have only one Travelers Obey the Tenets.","","LoB:R","magaji","","Caleb Cleaveland","",""
"102014","Treachery","","Reaction","","Presence","","","","","Only usable during a referendum before any votes and ballots are cast.
[pre] If the referendum passes, the controller of the vampire calling the referendum burns 1 pool.
[PRE] As above, and any other Methuselahs who cast votes or ballots in favor of the referendum burn 1 pool when the votes are tallied.","","AH:U5, CE:U/PB, BH:PTo","","","Harold Arthur McNeill","",""
"102015","Treasured Samadji","","Equipment","Ravnos","","1","","","","Unique equipment.
The Ravnos with this equipment gets +1 bleed. Once each combat, this Ravnos may dodge as a strike.","","FN:R2, LotN:PR","","","Jim Nelson","",""
"102016","Treat the Sick Mind","","Action/Reaction","","Obeah/Dementation","","","","","[dem] [ACTION] Unlock an ally or younger vampire.
[obe] As [dem] above, with +1 stealth.
[OBE] [REACTION] Cancel a card played by another Methuselah that would be placed on a vampire with Dementation [dem] he or she does not control. Usable even if there is no action.","","HttB:R","","","Mathias Kollros","",""
"102017","Treatment, The","","Master","Ravnos","","1","","","","Master.
Put this card on a prince who has successfully bled you since your last turn. Each time this prince unlocks, he or she takes 1 point of damage (damage not preventable). This prince may burn this card as a (D) action.","","DS:C2, Tenth:A","","","Mark Tedin","",""
"102018","Treaty of Laibach","","Master","Follower of Set/Tremere","","","","","","Unique. Requires both Follower of Set and Tremere.
Put this card in play. Each Follower of Set is considered to have a level of Thaumaturgy [tha] equal to their level of Serpentis [ser]. Each Tremere is considered to have a level of Serpentis equal to theirs level of Thaumaturgy.","","Promo-20080203, POD:DTC","","","Torstein Nordstrand","",""
"102019","Treaty of Tyre Enforced","","Political Action","","","","","","","If this referendum is successful, each Methuselah burns X+1 pool, where X is the number of Assamites he or she controls.","","AH:V3","","","Greg Simanson","",""
"102020","Tremere Convocation","","Master","Tremere","","","","","","Unique master.
Put this card in play. Tremere get +1 stealth when attempting actions that require Thaumaturgy [tha]. Vampires with basic Thaumaturgy may play combat cards requiring Thaumaturgy as if they had superior Thaumaturgy [THA]. Any minion may burn this card as a (D) action; Malkavians get -1 stealth when attempting that action.","","DS:U, CE:R2","","","Richard Thomas","",""
"102021","Tremere Justicar","","Political Action","","","","","","","Title.
Choose a ready Tremere. If this referendum is successful, put this card on the chosen Tremere to represent the unique Camarilla title of Tremere Justicar. In this referendum, each Tremere gets 1 extra vote.","","Jyhad:R, VTES:R, CE:R, KoT:R","","","Steve Casper; Becky Jollensten","",""
"102022","Tribunal Judgment","","Political Action","","","","","","","Requires a Sabbat vampire.
Choose a vampire who cast any votes in the most recent referendum (must be since your last turn). Successful referendum means that vampire takes X damage, where X is the number of votes he or she cast in that previous referendum.","","SoC:R","sabbat","","Thomas Manning","",""
"102023","Tribute to the Master","","Master","","","","","","","Master.
Move 1 blood from each of your ready vampires to your pool.","All these lives I will give you, ay, and many more and greater, through countless ages...
Bram Stoker, ""Dracula""","Sabbat:C, SW:C/PB/PL, Third:C","","","Jeremy C. Bills","",""
"102024","Trick of the Danya, The","","Action","","Chimerstry","","1","","","+1 stealth action.
[chi] Move 1 blood from an uncontrolled minion in your prey's uncontrolled region to your pool or to a vampire in your uncontrolled region.","","DS:C2, FN:PR2","","","Harold Arthur McNeill","",""
"102025","Triole's Revenge","","Action","Brujah","","","2","","","+1 stealth action.
(D) Put this card on a Ventrue who is not at full capacity. A Ventrue suffering Triole's Revenge must hunt once each minion phase as his or her first action. If the Ventrue hunts while at full capacity, he or she is burned. Any Ventrue can take an action to burn this card.","","DS:U","","","Richard Thomas","",""
"102026","Trochomancy","","Action Modifier","","Auspex & Necromancy","","","","","Only usable during a bleed action.
[nec] Remove thirteen cards in the target Methuselah's ash heap from the game to get +1 bleed (limited).
[aus][nec] As [nec] above, but remove only seven cards.
[AUS][NEC] As [aus][nec] above, but for +2 bleed (limited).","","LotN:C, POD:DTC","","","Imaginary Friends Studios","",""
"102027","Trophy: Chosen","","Master","","","","","","","Master. Trophy.
When this card is moved to a vampire, that vampire gains 4 blood, becomes Sabbat and unlocks, or that vampire can choose to burn this card instead. The vampire with this card is Black Hand. If he or she was already Black Hand when receiving this card, he or she is a Seraph.","","SoC:R","","","Thomas Manning","",""
"102028","Trophy: Clan Respect","","Master","","","","","","","Master. Trophy.
When this card enters play, choose a clan. Vampires of the chosen clan cannot block the vampire with this card.","You solve this problem for me... and I will join my voice with yours when it comes time to formalize our new structure.
Hardestadt, Ventrue","KMW:R","","","Steve Ellis","",""
"102029","Trophy: Diablerie","","Master","","","","","","","Master. Trophy.
The vampire with this card gets +2 stealth when attempting diablerie. Blood hunts cannot be called against this vampire. If this vampire successfully diablerizes another vampire, burn this card at the end of the action.","","KMW:R","","","Chris Richards","",""
"102030","Trophy: Discipline","","Master","","","","","","","Master. Trophy.
When this card enters play, choose a Discipline. The vampire with this card has the chosen Discipline at the superior level.","They taught you to hear them dead people? Think you could teach me?
Joe ""Boot"" Hill, Assamite antitribu","KMW:R","","","Satyr","",""
"102031","Trophy: Domain","","Master","","","","","","","Master. Trophy.
The vampire with this card has +1 intercept. Once each action, this vampire can burn 1 blood to unlock and attempt to block.","The Camarilla will formally acknowledge the supremacy of Clan Giovanni in Boston and its immediate environs.
Jacques Gauthier, Toreador","KMW:R","","","John Bridges","",""
"102032","Trophy: Hunting Ground","","Master","","","","","","","Master. Trophy. Hunting ground.
During your unlock phase, the vampire with this card gains 2 blood from the blood bank. A vampire can gain blood from only one hunting ground card each turn.","","KMW:R","","","Avery Butterworth","",""
"102033","Trophy: Library","","Master","","","","","","","Master. Trophy.
The controller of this vampire gets +2 hand size. A vampire may have no more than two Trophy: Libraries.","The greatest university of all is a collection of books.
Thomas Carlyle","LotN:R","","","Becky Jollensten","",""
"102034","Trophy: No Questions","","Master","","","","","","","Master. Trophy.
Put 2 counters on this card. When the vampire with this card announces an action, he or she may burn a counter from it to make the action unblockable. Burn this card when it has no counters.","","LotN:R","","","Patrick McEvoy","",""
"102035","Trophy: Progeny","","Master","","","","","","","Master. Trophy.
If this card would be moved to a non-sterile vampire, that vampire's controller takes control of it instead, and it becomes a non-unique vampire of the same clan {and sect} as that vampire with 2 capacity. He or she may go through his or her library (shuffle afterward), ash heap or hand to find a Discipline card for this new vampire. Move 2 blood from the blood bank to this new vampire.","","KMW:R","","","Rik Martin","2",""
"102036","Trophy: Retainers","","Master","","","","","","","Master. Trophy.
During your unlock phase, if this card is on a vampire, you may search your library (shuffle afterward) or hand for a retainer. This vampire employs that retainer (he or she must meet the requirements, if any). Pay the cost as normal. This is not an action.","","KMW:R","","","Satyr","",""
"102037","Trophy: Revered","","Master","","","","","","","Master. Trophy.
The vampire with this card gets +2 bleed. A vampire may have only one Trophy: Revered.","It is hard to free fools from the chains they revere.
Voltaire","LotN:R","","","Imaginary Friends Studios","",""
"102038","Trophy: Safe Passage","","Master","","","","","","","Master. Trophy.
While the vampire with this card is ready, he or she cannot be the target of other Methuselahs' actions.","I want a promise that I won't be interfered with by the prince's sheriff.
Khalil Ravana, Ravnos","KMW:R","","","Glen Osterberger","",""
"102039","Trophy: Wealth","","Master","","","","","","","Master. Trophy.
When this card is placed on a vampire, put five counters on it. The vampire with this card can use these counters to pay some or all of the blood or pool cost of equipment. Burn this card when the last counter is removed.","","KMW:R","","","David Day","",""
"102040","True Faith","","Master","","","1","","","","Unique master.
Put this card on a non-infernal mortal ally you control, or pay 2 pool to put this card on any non-infernal minion you control. Actions requiring Dominate [dom] or Presence [pre] cannot be directed at this minion. In combat, any damage this minion inflicts on an infernal minion is aggravated. Infernal minions cannot block or strike this minion. Burn this card if this minion becomes infernal.","","BL:R2","","","Talon Dunning","",""
